,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Rikitea,PF,76.95,-23.12,-134.97,Pension Maro'i
1,Buin,CL,68.0,-33.73,-70.75,Paihuen
2,Busselton,AU,72.0,-33.65,115.33,Observatory Guest House
4,Rehoboth,,57.65,-23.32,17.08,Noble Luminous Accommodation
5,New Norfolk,AU,77.0,-42.78,147.06,The Shingles Riverside Cottages
6,Bubaque,GW,79.29,11.28,-15.83,"Casa Dora, Bubaque"
7,Cabo San Lucas,MX,66.0,22.89,-109.91,Hotel Tesoro Los Cabos
8,Nanortalik,GL,32.95,60.14,-45.24,"NTS Rooms, Nanortalik"
9,Victoria,HK,61.0,22.29,114.16,Mini Hotel Central
10,Gat,IL,57.0,31.61,34.76,OlusHome
11,Bluff,NZ,63.0,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
12,Carnarvon,AU,78.8,-24.87,113.63,Hospitality Carnarvon
13,Mataura,NZ,63.0,-46.19,168.86,Ellie's Villa
15,Port Alfred,ZA,66.0,-33.59,26.89,The Halyards Hotel
16,Padang,ID,84.43,-0.95,100.35,Mercure Padang
17,Ponta Do Sol,PT,60.8,32.67,-17.1,Hotel do Campo
18,Andra,RU,0.5,62.51,65.89,"Gostinitsa ""Ob'"""
20,Burnie,AU,77.0,-41.07,145.92,Beachfront Voyager Motor Inn
21,Arraial Do Cabo,BR,73.4,-22.97,-42.03,Pousada Porto Praia
23,Kashi,CN,24.8,39.45,75.98,帕米尔青年旅舍
24,Punta Arenas,CL,42.8,-53.15,-70.92,Hotel Dreams Del Estrecho
25,Webuye,KE,46.4,0.61,34.77,Satellite View Hotel
26,Hermanus,ZA,61.0,-34.42,19.23,Misty Waves Boutique Hotel
27,Marsa Matruh,EG,57.2,31.35,27.25,Beau Site
28,Qui Nhon,VN,78.28,13.77,109.23,Hoang Yen Canary Hotel
29,Ilulissat,GL,15.8,69.22,-51.1,Hotel Arctic
30,Puerto Ayora,EC,72.0,-0.74,-90.35,Finch Bay Galapagos Hotel
31,Ushuaia,AR,35.6,-54.8,-68.3,Albatros Hotel
32,Lebu,CL,52.07,-37.62,-73.65,Hostal Las Lilas
33,Hilo,US,78.8,19.73,-155.09,Hilo Hawaiian Hotel
34,Lerwick,GB,48.2,60.15,-1.15,The Lerwick Hotel
35,Sibolga,ID,85.91,1.74,98.78,Hotel Syariah CN Darussalam
36,Kaitangata,NZ,64.99,-46.28,169.85,Kaitangata Motor Camp
37,Port Blair,IN,82.56,11.67,92.75,Welcomhotel Bay Island Port Blair
38,Tura,IN,73.04,25.52,90.22,Hotel RIKMAN Continental
39,Presidencia Roque Saenz Pena,AR,69.01,-26.79,-60.44,Hotel Aconcagua
40,Krasnoborsk,RU,18.75,61.56,45.93,"Baza Otdykha ""Medvezhiy Ugol"""
41,Bambous Virieux,MU,77.0,-20.34,57.76,Casa Tia Villa
42,Zhuhai,CN,57.99,22.28,113.57,Nanyang Seascape Hotel Zhuhai Hotel
43,Tshela,CD,72.27,-4.98,12.93,Hotel Mirador
44,Petropavlovsk-Kamchatskiy,RU,30.2,53.05,158.65,"ООО ""Гостиничный комплекс ""Петропавловск"""
46,Cayenne,GF,75.2,4.93,-52.33,Hôtel Le Dronmi
47,Bethel,US,30.99,41.37,-73.41,Courtyard by Marriott Danbury
48,Geraldton,AU,86.0,-28.77,114.6,Broadwater Mariner Resort
49,Rio Gallegos,AR,44.6,-51.62,-69.22,Hotel Santa Cruz
50,Cape Town,ZA,64.0,-33.93,18.42,Southern Sun Cape Sun
51,Haines Junction,CA,-2.2,60.75,-137.51,Parkside Inn
52,Castro,BR,63.45,-24.79,-50.01,CHACARA BAILLY
53,Barrow,US,-2.2,71.29,-156.79,King Eider Inn
54,Mar Del Plata,AR,60.8,-38.0,-57.56,Gran Hotel Mar del Plata
55,Avarua,CK,82.4,-21.21,-159.78,Paradise Inn
56,Ahuimanu,US,82.4,21.44,-157.84,Paradise Bay Resort
57,Alta Floresta,BR,70.93,-9.88,-56.09,Floresta Amazonica Hotel
58,East London,ZA,64.4,-33.02,27.91,Tu Casa
59,Atuona,PF,78.89,-9.8,-139.03,Villa Enata
60,Tomatlan,MX,66.52,19.93,-105.25,Norma franco
61,Luhacovice,CZ,36.0,49.1,17.76,Boutique hotel RADUN
62,Hervey Bay,AU,86.0,-25.3,152.85,Shelly Bay Resort
63,Bredasdorp,ZA,59.0,-34.53,20.04,Bredasdorp Country Manor
64,Hasaki,JP,52.0,35.73,140.83,Hotel Sunrise Choshi
65,Jijiga,ET,52.74,9.35,42.8,RAMAAS HOTEL
66,Vaini,TO,80.6,-21.2,-175.2,Keleti Beach Resort
68,Jamestown,US,28.99,42.1,-79.24,Hampton Inn & Suites Jamestown
69,Port-Cartier,CA,19.99,50.03,-66.87,Le Q'Artier
70,Shingu,JP,44.6,33.73,135.98,Shingu UI Hotel
72,Kirakira,SB,85.28,-10.45,161.92,SanBiz Lodge
74,Salalah,OM,71.6,17.02,54.09,HAMDAN PLAZA HOTEL SALALAH
75,Kavieng,PG,84.74,-2.57,150.8,Nusa Island Retreat
76,Yellowknife,CA,-24.0,62.46,-114.35,The Explorer Hotel
77,Tabuk,PH,73.13,17.42,121.44,Golden Berries Hotel and Convention
78,Airai,TL,67.75,-8.93,125.41,Juvinal Martin
79,Hobart,AU,77.0,-42.88,147.33,Mantra on Collins Hobart
81,Saint-Francois,FR,53.6,46.42,3.91,Manoir Du Bonheur
82,Kodiak,US,32.0,57.79,-152.41,Best Western Kodiak Inn And Convention Center
83,Qaanaaq,GL,-6.07,77.48,-69.36,Qaanaaq Hotel
84,Krasnyy Yar,RU,17.6,46.53,48.35,Cottege near Ufa
85,Upernavik,GL,3.54,72.79,-56.15,Gina's Guesthouse - Upernavik
86,Bagua Grande,PE,73.56,-5.76,-78.44,HOTELNIEVA
87,Port Lincoln,AU,65.52,-34.73,135.87,Port Lincoln Hotel
89,Kruisfontein,ZA,63.0,-34.0,24.73,Oyster Bay House Rental
90,Ust-Koksa,RU,8.4,50.27,85.61,Uymonskaya Dolina
91,Constitucion,CL,55.4,-35.33,-72.42,Hotel Boutique Las Azucenas
93,San Cristobal,VE,64.92,7.77,-72.22,Pirineos
