,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.12,-134.97,76.95,73,74,7.11,PF,2020-12-15 03:46:01
1,Buin,-33.73,-70.75,68.0,42,31,6.93,CL,2020-12-15 03:46:03
2,Busselton,-33.65,115.33,72.0,35,0,1.99,AU,2020-12-15 03:46:03
3,Dikson,73.51,80.55,-19.79,88,74,9.26,RU,2020-12-15 03:42:08
4,Rehoboth,-23.32,17.08,57.65,35,9,3.49,NA,2020-12-15 03:46:03
5,New Norfolk,-42.78,147.06,77.0,68,40,26.4,AU,2020-12-15 03:46:04
6,Bubaque,11.28,-15.83,79.29,60,4,15.68,GW,2020-12-15 03:46:04
7,Cabo San Lucas,22.89,-109.91,66.0,72,5,13.87,MX,2020-12-15 03:42:16
8,Nanortalik,60.14,-45.24,32.95,91,100,3.31,GL,2020-12-15 03:42:08
9,Victoria,22.29,114.16,61.0,72,52,1.99,HK,2020-12-15 03:43:24
10,Gat,31.61,34.76,57.0,38,0,1.01,IL,2020-12-15 03:46:04
11,Bluff,-46.6,168.33,63.0,71,0,14.0,NZ,2020-12-15 03:46:04
12,Carnarvon,-24.87,113.63,78.8,57,0,19.46,AU,2020-12-15 03:46:05
13,Mataura,-46.19,168.86,63.0,71,0,14.0,NZ,2020-12-15 03:46:05
14,Provideniya,64.38,-173.3,17.6,72,90,20.13,RU,2020-12-15 03:46:05
15,Port Alfred,-33.59,26.89,66.0,94,99,3.0,ZA,2020-12-15 03:46:05
16,Padang,-0.95,100.35,84.43,62,100,4.76,ID,2020-12-15 03:46:05
17,Ponta Do Sol,32.67,-17.1,60.8,59,20,8.05,PT,2020-12-15 03:46:05
18,Andra,62.51,65.89,0.5,92,15,4.0,RU,2020-12-15 03:46:05
19,Tenenkou,14.46,-4.92,71.2,23,26,9.75,ML,2020-12-15 03:46:05
20,Burnie,-41.07,145.92,77.0,70,6,13.0,AU,2020-12-15 03:46:06
21,Arraial Do Cabo,-22.97,-42.03,73.4,89,40,12.75,BR,2020-12-15 03:46:06
22,Albany,42.6,-73.97,34.0,70,31,1.99,US,2020-12-15 03:45:28
23,Kashi,39.45,75.98,24.8,92,90,4.47,CN,2020-12-15 03:46:06
24,Punta Arenas,-53.15,-70.92,42.8,75,95,25.28,CL,2020-12-15 03:41:36
25,Webuye,0.61,34.77,46.4,87,20,5.82,KE,2020-12-15 03:46:06
26,Hermanus,-34.42,19.23,61.0,89,5,7.34,ZA,2020-12-15 03:46:06
27,Marsa Matruh,31.35,27.25,57.2,82,40,14.99,EG,2020-12-15 03:46:07
28,Qui Nhon,13.77,109.23,78.28,85,91,18.59,VN,2020-12-15 03:46:07
29,Ilulissat,69.22,-51.1,15.8,66,0,9.17,GL,2020-12-15 03:46:07
30,Puerto Ayora,-0.74,-90.35,72.0,90,42,11.01,EC,2020-12-15 03:46:07
31,Ushuaia,-54.8,-68.3,35.6,93,75,20.8,AR,2020-12-15 03:46:07
